model,training_recipe,variant,information_mode,prompt_profile,benchmark_rows,contract_ok_pct,citation_pass_rate_pct,citation_avg_sentence_coverage,doc_examples_with_any_eval,doc_pairs_evaluated,doc_micro_accuracy_pct,doc_macro_f1,conflict_evaluated_ids,conflict_support,conflict_accuracy_pct,final_answer_scored_pairs,token_f1,rouge_l_f1,final_avg_citation_count,final_avg_unique_citations,final_citation_sentence_coverage,rows_with_invalid_citations,raw_output_path
"llama8b","Base model","baseline","e2e","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,547,0.2657,0.2318,0.0,0.0,0.0,0,"final_model_outputs/llama8b/e2e/minimal/baseline/baseline_llama31_stagewise_base_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","e2e","minimal",736,93.2,74.2,0.8585,734,3685,79.81,0.7639,736,732,61.07,531,0.3516,0.3145,2.4103,1.572,0.6906,0,"final_model_outputs/llama8b/e2e/minimal/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_e2e_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","e2e","runtime",736,55.4,19.2,0.2398,735,3569,47.35,0.4455,736,594,36.2,546,0.2533,0.2206,0.4796,0.4497,0.2381,0,"final_model_outputs/llama8b/e2e/runtime/baseline/baseline_llama31_stagewise_base_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","e2e","runtime",736,93.5,75.6,0.8635,736,3699,78.48,0.7511,736,733,62.89,531,0.353,0.3135,2.5448,1.6168,0.6934,0,"final_model_outputs/llama8b/e2e/runtime/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_e2e_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","e2e","strict",736,0.0,31.5,0.476,0,0,0.0,0.0,736,720,34.58,481,0.2363,0.201,1.6101,1.4524,0.4007,0,"final_model_outputs/llama8b/e2e/strict/baseline/baseline_llama31_stagewise_base_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","e2e","strict",736,93.5,76.7,0.865,734,3688,78.52,0.7531,736,732,62.98,531,0.3379,0.2977,2.6821,1.6834,0.6969,0,"final_model_outputs/llama8b/e2e/strict/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_e2e_strict_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_both","minimal",736,0.0,0.0,0.0,0,0,0.0,0.0,736,0,0.0,541,0.1675,0.1323,0.0,0.0,0.0,0,"final_model_outputs/llama8b/oracle_both/minimal/baseline/baseline_llama31_stagewise_base_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_both","minimal",736,44.3,69.8,0.8369,359,1790,99.78,0.9981,736,359,74.09,529,0.3595,0.3245,2.2038,1.4769,0.7015,0,"final_model_outputs/llama8b/oracle_both/minimal/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_minimal_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Base model","baseline","oracle_both","runtime",736,84.1,9.7,0.1436,735,3684,93.35,0.9129,736,733,97.82,484,0.2581,0.2266,0.2201,0.2174,0.1321,0,"final_model_outputs/llama8b/oracle_both/runtime/baseline/baseline_llama31_stagewise_base_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
"llama8b","Run L","sft","oracle_both","runtime",736,95.2,76.5,0.872,735,3696,98.4,0.9841,736,735,76.33,536,0.3499,0.3104,2.6943,1.7391,0.7108,0,"final_model_outputs/llama8b/oracle_both/runtime/sft/sft_llama31_stagewise_main_trace_text_l_boundary_rebalanced_oracle_both_trace_text_benchmark_final_v2_holdout_clean_736.raw.jsonl"
